name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,country,substation_lv,substation_off
NL0 0,380.0,,4.58048873,51.975314495,AC,,,1.0,0.0,inf,Slack,,0,NL,1.0,1.0
NL0 1,380.0,,6.925059573333333,53.28827718,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 10,380.0,,6.75917948,52.24885331,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 11,380.0,,6.499370635,53.111367345000005,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 12,380.0,,5.66399939,51.926845,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 13,380.0,,4.26598883,51.83941083,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 14,380.0,,6.25193754,51.98221861,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 15,380.0,,4.98756893,52.16052091,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 16,380.0,,5.92522821,53.12499435666667,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 17,380.0,,4.26555821,51.999115535,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 18,380.0,,4.687185585,52.42328574,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 19,380.0,,4.0441367525,52.12909251,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 2,380.0,,5.91297427,51.63849946,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 3,380.0,,6.18917739,52.53025564,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 4,380.0,,4.94547764,52.382888054999995,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 5,380.0,,4.21880684,51.42343326,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 6,380.0,,5.91831504,51.14840834,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 7,380.0,,5.67394362,52.59672395,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 8,380.0,,4.7906599100000005,51.756947784999994,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 9,380.0,,5.53256486,51.44676101,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 0 H2,1.0,,4.58048873,51.975314495,H2,,NL0 0,1.0,0.0,inf,PQ,,,NL,,
NL0 1 H2,1.0,,6.925059573333333,53.28827718,H2,,NL0 1,1.0,0.0,inf,PQ,,,NL,,
NL0 10 H2,1.0,,6.75917948,52.24885331,H2,,NL0 10,1.0,0.0,inf,PQ,,,NL,,
NL0 11 H2,1.0,,6.499370635,53.111367345000005,H2,,NL0 11,1.0,0.0,inf,PQ,,,NL,,
NL0 12 H2,1.0,,5.66399939,51.926845,H2,,NL0 12,1.0,0.0,inf,PQ,,,NL,,
NL0 13 H2,1.0,,4.26598883,51.83941083,H2,,NL0 13,1.0,0.0,inf,PQ,,,NL,,
NL0 14 H2,1.0,,6.25193754,51.98221861,H2,,NL0 14,1.0,0.0,inf,PQ,,,NL,,
NL0 15 H2,1.0,,4.98756893,52.16052091,H2,,NL0 15,1.0,0.0,inf,PQ,,,NL,,
NL0 16 H2,1.0,,5.92522821,53.12499435666667,H2,,NL0 16,1.0,0.0,inf,PQ,,,NL,,
NL0 17 H2,1.0,,4.26555821,51.999115535,H2,,NL0 17,1.0,0.0,inf,PQ,,,NL,,
NL0 18 H2,1.0,,4.687185585,52.42328574,H2,,NL0 18,1.0,0.0,inf,PQ,,,NL,,
NL0 19 H2,1.0,,4.0441367525,52.12909251,H2,,NL0 19,1.0,0.0,inf,PQ,,,NL,,
NL0 2 H2,1.0,,5.91297427,51.63849946,H2,,NL0 2,1.0,0.0,inf,PQ,,,NL,,
NL0 3 H2,1.0,,6.18917739,52.53025564,H2,,NL0 3,1.0,0.0,inf,PQ,,,NL,,
NL0 4 H2,1.0,,4.94547764,52.382888054999995,H2,,NL0 4,1.0,0.0,inf,PQ,,,NL,,
NL0 5 H2,1.0,,4.21880684,51.42343326,H2,,NL0 5,1.0,0.0,inf,PQ,,,NL,,
NL0 6 H2,1.0,,5.91831504,51.14840834,H2,,NL0 6,1.0,0.0,inf,PQ,,,NL,,
NL0 7 H2,1.0,,5.67394362,52.59672395,H2,,NL0 7,1.0,0.0,inf,PQ,,,NL,,
NL0 8 H2,1.0,,4.7906599100000005,51.756947784999994,H2,,NL0 8,1.0,0.0,inf,PQ,,,NL,,
NL0 9 H2,1.0,,5.53256486,51.44676101,H2,,NL0 9,1.0,0.0,inf,PQ,,,NL,,
NL0 0 battery,1.0,,4.58048873,51.975314495,battery,,NL0 0,1.0,0.0,inf,PQ,,,NL,,
NL0 1 battery,1.0,,6.925059573333333,53.28827718,battery,,NL0 1,1.0,0.0,inf,PQ,,,NL,,
NL0 10 battery,1.0,,6.75917948,52.24885331,battery,,NL0 10,1.0,0.0,inf,PQ,,,NL,,
NL0 11 battery,1.0,,6.499370635,53.111367345000005,battery,,NL0 11,1.0,0.0,inf,PQ,,,NL,,
NL0 12 battery,1.0,,5.66399939,51.926845,battery,,NL0 12,1.0,0.0,inf,PQ,,,NL,,
NL0 13 battery,1.0,,4.26598883,51.83941083,battery,,NL0 13,1.0,0.0,inf,PQ,,,NL,,
NL0 14 battery,1.0,,6.25193754,51.98221861,battery,,NL0 14,1.0,0.0,inf,PQ,,,NL,,
NL0 15 battery,1.0,,4.98756893,52.16052091,battery,,NL0 15,1.0,0.0,inf,PQ,,,NL,,
NL0 16 battery,1.0,,5.92522821,53.12499435666667,battery,,NL0 16,1.0,0.0,inf,PQ,,,NL,,
NL0 17 battery,1.0,,4.26555821,51.999115535,battery,,NL0 17,1.0,0.0,inf,PQ,,,NL,,
NL0 18 battery,1.0,,4.687185585,52.42328574,battery,,NL0 18,1.0,0.0,inf,PQ,,,NL,,
NL0 19 battery,1.0,,4.0441367525,52.12909251,battery,,NL0 19,1.0,0.0,inf,PQ,,,NL,,
NL0 2 battery,1.0,,5.91297427,51.63849946,battery,,NL0 2,1.0,0.0,inf,PQ,,,NL,,
NL0 3 battery,1.0,,6.18917739,52.53025564,battery,,NL0 3,1.0,0.0,inf,PQ,,,NL,,
NL0 4 battery,1.0,,4.94547764,52.382888054999995,battery,,NL0 4,1.0,0.0,inf,PQ,,,NL,,
NL0 5 battery,1.0,,4.21880684,51.42343326,battery,,NL0 5,1.0,0.0,inf,PQ,,,NL,,
NL0 6 battery,1.0,,5.91831504,51.14840834,battery,,NL0 6,1.0,0.0,inf,PQ,,,NL,,
NL0 7 battery,1.0,,5.67394362,52.59672395,battery,,NL0 7,1.0,0.0,inf,PQ,,,NL,,
NL0 8 battery,1.0,,4.7906599100000005,51.756947784999994,battery,,NL0 8,1.0,0.0,inf,PQ,,,NL,,
NL0 9 battery,1.0,,5.53256486,51.44676101,battery,,NL0 9,1.0,0.0,inf,PQ,,,NL,,
