t,snapshot,line,flow,limit,loading
650,2013-01-28 01:00:00,0,5.0,5.0,1.0
650,2013-01-28 01:00:00,1,-55.0,65.0,0.8461538461538461
651,2013-01-28 02:00:00,0,5.0,5.0,1.0
651,2013-01-28 02:00:00,1,-55.0,65.0,0.8461538461538461
652,2013-01-28 03:00:00,0,5.0,5.0,1.0
652,2013-01-28 03:00:00,1,-55.0,65.0,0.8461538461538461
653,2013-01-28 04:00:00,0,5.0,5.0,1.0
653,2013-01-28 04:00:00,1,-55.0,65.0,0.8461538461538461
654,2013-01-28 05:00:00,0,5.0,5.0,1.0
654,2013-01-28 05:00:00,1,-55.0,65.0,0.8461538461538461
655,2013-01-28 06:00:00,0,5.0,5.0,1.0
655,2013-01-28 06:00:00,1,-55.0,65.0,0.8461538461538461
656,2013-01-28 07:00:00,0,5.0,5.0,1.0
656,2013-01-28 07:00:00,1,-55.0,65.0,0.8461538461538461
