t,snapshot,generator,bus,technology,q,r_up,r_down,net_redispatch,q_max
650,2013-01-28 01:00:00,NL0 0 coal,NL0 0,coal,3.5264161587066463,0.0,0.0,0.0,18.532997323249884
650,2013-01-28 01:00:00,NL0 1 coal,NL0 1,coal,68.18160037777203,0.0,0.0,0.0,80.70019323426874
650,2013-01-28 01:00:00,NL0 10 coal,NL0 10,coal,63.291983463521326,0.0,0.0,0.0,75.76680944248177
651,2013-01-28 02:00:00,NL0 0 coal,NL0 0,coal,3.526416158706292,0.0,0.0,0.0,18.532997323249884
651,2013-01-28 02:00:00,NL0 1 coal,NL0 1,coal,68.18160037777169,0.0,0.0,0.0,80.70019323426874
651,2013-01-28 02:00:00,NL0 10 coal,NL0 10,coal,63.29198346352203,0.0,0.0,0.0,75.76680944248177
652,2013-01-28 03:00:00,NL0 0 coal,NL0 0,coal,3.5264161587063634,0.0,0.0,0.0,18.532997323249884
652,2013-01-28 03:00:00,NL0 1 coal,NL0 1,coal,68.18160037777173,0.0,0.0,0.0,80.70019323426874
652,2013-01-28 03:00:00,NL0 10 coal,NL0 10,coal,63.291983463521916,0.0,0.0,0.0,75.76680944248177
653,2013-01-28 04:00:00,NL0 0 coal,NL0 0,coal,3.526416158706136,0.0,0.0,0.0,18.532997323249884
653,2013-01-28 04:00:00,NL0 1 coal,NL0 1,coal,68.18160037777149,0.0,0.0,0.0,80.70019323426874
653,2013-01-28 04:00:00,NL0 10 coal,NL0 10,coal,63.29198346352238,0.0,0.0,0.0,75.76680944248177
654,2013-01-28 05:00:00,NL0 0 coal,NL0 0,coal,3.5264161587062395,0.0,0.0,0.0,18.532997323249884
654,2013-01-28 05:00:00,NL0 1 coal,NL0 1,coal,68.18160037777164,0.0,0.0,0.0,80.70019323426874
654,2013-01-28 05:00:00,NL0 10 coal,NL0 10,coal,63.29198346352213,0.0,0.0,0.0,75.76680944248177
655,2013-01-28 06:00:00,NL0 0 coal,NL0 0,coal,3.526416158706256,0.0,0.0,0.0,18.532997323249884
655,2013-01-28 06:00:00,NL0 1 coal,NL0 1,coal,68.18160037777166,0.0,0.0,0.0,80.70019323426874
655,2013-01-28 06:00:00,NL0 10 coal,NL0 10,coal,63.291983463522094,0.0,0.0,0.0,75.76680944248177
656,2013-01-28 07:00:00,NL0 0 coal,NL0 0,coal,3.5264161587064695,0.0,0.0,0.0,18.532997323249884
656,2013-01-28 07:00:00,NL0 1 coal,NL0 1,coal,68.18160037777184,0.0,0.0,0.0,80.70019323426874
656,2013-01-28 07:00:00,NL0 10 coal,NL0 10,coal,63.291983463521696,0.0,0.0,0.0,75.76680944248177
