run_id,generator,bus,zone,cap,vc,mu_cm_bud_total,energy_rent,cm_rent,total_gen
1,NL0 0 0 solar,NL0 0,1,100.0,0.01,0.0,374.25,0.0,75.0
1,NL0 1 0 solar,NL0 1,2,100.0,0.01,0.0,374.25,0.0,75.0
1,NL0 10 0 solar,NL0 10,3,100.0,0.01,0.0,374.25,0.0,75.0
2,NL0 0 0 solar,NL0 0,1,100.0,0.01,34.694967548256535,374.25,0.0,75.0
2,NL0 1 0 solar,NL0 1,2,100.0,0.01,34.694967548256535,374.25,0.0,75.0
2,NL0 10 0 solar,NL0 10,3,100.0,0.01,34.694967548256535,374.25,0.0,75.0
3,NL0 0 0 solar,NL0 0,1,100.0,0.01,34.694967548256535,374.25,0.0,75.0
3,NL0 1 0 solar,NL0 1,2,100.0,0.01,34.694967548256535,374.25,0.0,75.0
3,NL0 10 0 solar,NL0 10,3,100.0,0.01,34.694967548256535,374.25,0.0,75.0
4,NL0 0 0 solar,NL0 0,1,100.0,0.01,34.694967548256535,374.25,0.0,75.0
4,NL0 1 0 solar,NL0 1,2,100.0,0.01,34.694967548256535,374.25,0.0,75.0
4,NL0 10 0 solar,NL0 10,3,100.0,0.01,34.694967548256535,374.25,0.0,75.0
5,NL0 0 0 solar,NL0 0,1,100.0,0.01,34.694967548256535,374.25,0.0,75.0
5,NL0 1 0 solar,NL0 1,2,100.0,0.01,34.694967548256535,374.25,0.0,75.0
5,NL0 10 0 solar,NL0 10,3,100.0,0.01,34.694967548256535,374.25,0.0,75.0
6,NL0 0 0 solar,NL0 0,1,100.0,0.01,34.694967548256535,374.25,0.0,75.0
6,NL0 1 0 solar,NL0 1,2,100.0,0.01,34.694967548256535,374.25,0.0,75.0
6,NL0 10 0 solar,NL0 10,3,100.0,0.01,34.694967548256535,374.25,0.0,75.0
7,NL0 0 0 solar,NL0 0,1,100.0,0.01,34.694967548256535,374.25,0.0,75.0
7,NL0 1 0 solar,NL0 1,2,100.0,0.01,34.694967548256535,374.25,0.0,75.0
7,NL0 10 0 solar,NL0 10,3,100.0,0.01,34.694967548256535,374.25,0.0,75.0
