run_id,t,line,flow,Fmax,utilization,congested
1,1,0,5.0,5.0,1.0,true
1,1,1,31.66666666666667,65.0,0.4871794871794872,false
1,2,0,5.0,5.0,1.0,true
1,2,1,62.22222222222224,65.0,0.9572649572649575,false
1,3,0,5.0,5.0,1.0,true
1,3,1,65.0,65.0,1.0,true
2,1,0,5.0,5.0,1.0,true
2,1,1,65.0,65.0,1.0,true
2,2,0,5.0,5.0,1.0,true
2,2,1,62.22222222222224,65.0,0.9572649572649575,false
2,3,0,5.0,5.0,1.0,true
2,3,1,65.0,65.0,1.0,true
3,1,0,5.0,5.0,1.0,true
3,1,1,26.66666666666667,65.0,0.41025641025641035,false
3,2,0,5.0,5.0,1.0,true
3,2,1,-41.66666666666666,65.0,0.6410256410256409,false
3,3,0,5.0,5.0,1.0,true
3,3,1,-38.888888888888886,65.0,0.5982905982905983,false
4,1,0,5.0,5.0,1.0,true
4,1,1,65.0,65.0,1.0,true
4,2,0,5.0,5.0,1.0,true
4,2,1,62.22222222222224,65.0,0.9572649572649575,false
4,3,0,5.0,5.0,1.0,true
4,3,1,65.0,65.0,1.0,true
5,1,0,5.0,5.0,1.0,true
5,1,1,31.66666666666667,65.0,0.4871794871794872,false
5,2,0,5.0,5.0,1.0,true
5,2,1,62.22222222222224,65.0,0.9572649572649575,false
5,3,0,5.0,5.0,1.0,true
5,3,1,65.0,65.0,1.0,true
6,1,0,5.0,5.0,1.0,true
6,1,1,31.66666666666667,65.0,0.4871794871794872,false
6,2,0,5.0,5.0,1.0,true
6,2,1,62.22222222222224,65.0,0.9572649572649575,false
6,3,0,5.0,5.0,1.0,true
6,3,1,65.0,65.0,1.0,true
7,1,0,5.0,5.0,1.0,true
7,1,1,31.66666666666667,65.0,0.4871794871794872,false
7,2,0,5.0,5.0,1.0,true
7,2,1,62.22222222222224,65.0,0.9572649572649575,false
7,3,0,5.0,5.0,1.0,true
7,3,1,65.0,65.0,1.0,true
8,1,0,5.0,5.0,1.0,true
8,1,1,31.66666666666667,65.0,0.4871794871794872,false
8,2,0,5.0,5.0,1.0,true
8,2,1,62.22222222222224,65.0,0.9572649572649575,false
8,3,0,5.0,5.0,1.0,true
8,3,1,65.0,65.0,1.0,true
9,1,0,5.0,5.0,1.0,true
9,1,1,65.0,65.0,1.0,true
9,2,0,0.0,5.0,0.0,false
9,2,1,65.0,65.0,1.0,true
9,3,0,5.0,5.0,1.0,true
9,3,1,65.0,65.0,1.0,true
10,1,0,5.0,5.0,1.0,true
10,1,1,65.0,65.0,1.0,true
10,2,0,5.0,5.0,1.0,true
10,2,1,62.22222222222224,65.0,0.9572649572649575,false
10,3,0,5.0,5.0,1.0,true
10,3,1,65.0,65.0,1.0,true
11,1,0,5.0,5.0,1.0,true
11,1,1,26.66666666666667,65.0,0.41025641025641035,false
11,2,0,5.0,5.0,1.0,true
11,2,1,-41.66666666666666,65.0,0.6410256410256409,false
11,3,0,5.0,5.0,1.0,true
11,3,1,-38.888888888888886,65.0,0.5982905982905983,false
