run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,lambda_c_z1,lambda_c_z2,lambda_c_z3,c_NL0 0 coal,c_NL0 1 coal,c_NL0 10 coal
1,unit_pos,OPTIMAL,0.21600008010864258,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,590.0,381324.35,190.0,0.0,0.0,0.0,110.0,85.55555555555556,79.44444444444444
2,unit_pos,OPTIMAL,0.023999929428100586,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,130.55555555555551,52807.68333333328,26.111111111111086,0.0,0.0,0.0,6.111111111111111,189.44444444444446,79.44444444444444
3,unit_pos,OPTIMAL,0.01699995994567871,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,130.55555555555551,52807.683333333305,26.1111111111111,0.0,0.0,0.0,6.111111111111111,85.55555555555556,183.33333333333334
4,unit_neg,OPTIMAL,0.006000041961669922,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,130.55555555555551,52807.68333333328,26.111111111111086,0.0,0.0,0.0,6.111111111111111,189.44444444444446,79.44444444444444
5,unit_neg,OPTIMAL,0.006000041961669922,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,590.0,381324.35,190.0,0.0,0.0,0.0,110.0,85.55555555555556,79.44444444444444
6,unit_neg,OPTIMAL,0.0,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,590.0,381324.35,190.0,0.0,0.0,0.0,110.0,85.55555555555556,79.44444444444444
7,random,OPTIMAL,0.009999990463256836,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,590.0,381324.35,190.0,0.0,0.0,0.0,110.0,85.55555555555556,79.44444444444444
8,random,OPTIMAL,0.06699991226196289,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,590.0,381324.35,190.0,0.0,0.0,0.0,110.0,85.55555555555556,79.44444444444444
9,random,OPTIMAL,0.04200005531311035,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,222.77777777777777,53038.238888888845,26.111111111111086,0.0,0.0,0.0,6.111111111111111,189.44444444444446,79.44444444444444
10,random,OPTIMAL,0.02500009536743164,0.005675840105531152,275.0,6307.622025256849,5.0,0.0,OPTIMAL,130.55555555555551,52807.68333333328,26.111111111111086,0.0,0.0,0.0,6.111111111111111,189.44444444444446,79.44444444444444
11,random,OPTIMAL,0.009999990463256836,0.0,275.0,6307.622025256849,5.0,0.0,OPTIMAL,130.55555555555551,52807.683333333305,26.1111111111111,0.0,0.0,0.0,6.111111111111111,85.55555555555556,183.33333333333334
